score_id,supplier_id,fiscal_year,quarter,otd_score,quality_score,cost_score,responsiveness_score,sustainability_score,composite_score,incidents_reported
SC000027,SUP0002,2023,3,90.04,95.02,88.36,65.02,71.29,86.82,2
SC000028,SUP0002,2023,4,58.56,91.36,98.3,60.1,70.66,77.71,0
SC000029,SUP0002,2024,1,75.61,93.6,89.05,95.48,70.54,85.17,0
SC000030,SUP0002,2024,2,83.58,99.9,82.47,85.46,89.19,89.0,0
SC000031,SUP0002,2024,3,82.65,88.95,82.37,64.96,62.99,80.75,3
SC000032,SUP0002,2024,4,75.89,91.02,93.53,79.69,95.36,86.28,4
SC000033,SUP0003,2021,1,55.26,87.13,72.84,69.08,51.62,69.36,2
SC000034,SUP0003,2021,2,98.38,86.83,96.78,84.02,87.53,92.07,3
SC000035,SUP0003,2021,3,62.72,94.2,90.54,64.39,84.43,80.07,5
SC000036,SUP0003,2021,4,90.86,93.4,89.9,96.78,59.03,88.84,4
SC000037,SUP0003,2022,1,56.39,95.39,90.66,99.61,77.09,81.34,4
SC000038,SUP0003,2022,2,70.37,90.65,94.29,75.49,52.32,79.94,3
SC000039,SUP0003,2022,3,72.91,85.94,94.4,76.3,78.34,82.0,5
SC000040,SUP0003,2022,4,81.58,89.98,94.36,61.15,52.2,81.67,0
SC000041,SUP0003,2023,1,57.84,95.71,92.09,94.52,52.54,79.19,2
SC000042,SUP0003,2023,2,73.4,99.8,85.41,79.55,60.23,83.02,5
SC000043,SUP0003,2023,3,82.71,86.49,95.24,60.1,55.82,81.4,5
SC000044,SUP0003,2023,4,72.45,97.94,94.74,93.81,84.8,87.93,5
SC000045,SUP0003,2024,1,78.24,94.01,72.58,89.99,91.18,84.31,1
SC000046,SUP0003,2024,2,70.04,99.28,97.48,72.2,78.72,85.38,1
SC000047,SUP0003,2024,3,71.11,88.64,98.24,62.12,54.8,79.27,1
SC000048,SUP0003,2024,4,90.99,97.4,81.77,80.14,66.71,87.56,2
SC000049,SUP0004,2021,1,63.1,88.51,76.09,61.36,93.27,76.16,0
SC000050,SUP0004,2021,2,72.81,99.94,80.14,75.86,62.75,81.71,5
SC000051,SUP0004,2021,3,69.68,88.51,87.53,95.76,50.23,79.56,5
SC000052,SUP0004,2021,4,57.04,95.53,89.75,80.83,55.84,77.39,1
SC000053,SUP0004,2022,1,62.02,90.31,83.4,60.32,82.3,76.64,3
SC000054,SUP0004,2022,2,90.18,87.41,86.35,70.5,88.36,86.43,4
SC000055,SUP0004,2022,3,64.34,99.92,87.33,66.09,65.55,79.91,1
SC000056,SUP0004,2022,4,95.55,89.58,96.4,71.0,50.95,87.01,2
SC000057,SUP0004,2023,1,71.39,93.83,77.82,85.0,99.44,83.57,2
SC000058,SUP0004,2023,2,62.1,96.28,90.85,82.4,73.73,81.3,2
SC000059,SUP0004,2023,3,75.63,93.69,94.83,60.83,94.84,85.33,3
SC000060,SUP0004,2023,4,72.34,90.16,97.21,62.6,96.81,84.13,4
SC000061,SUP0004,2024,1,96.18,87.81,87.51,93.46,59.52,88.0,5
SC000062,SUP0004,2024,2,67.6,93.16,84.63,75.59,59.43,78.66,0
SC000063,SUP0004,2024,3,74.44,89.46,77.49,84.1,95.36,82.61,5
SC000064,SUP0004,2024,4,71.38,89.1,70.76,93.34,69.92,78.62,5
SC000065,SUP0005,2021,1,86.91,93.23,79.37,72.05,66.82,83.8,0
SC000066,SUP0005,2021,2,60.84,89.1,88.39,70.0,53.92,75.05,2
SC000067,SUP0005,2021,3,85.17,98.67,82.19,84.94,94.61,89.55,5
SC000068,SUP0005,2021,4,89.36,87.21,95.5,76.79,76.64,87.41,4
SC000069,SUP0005,2022,1,58.26,99.98,93.5,87.51,67.51,81.67,3
SC000070,SUP0005,2022,2,92.66,91.65,98.02,75.14,71.13,89.52,1
SC000071,SUP0005,2022,3,79.45,90.12,84.55,94.87,94.42,86.71,4
SC000072,SUP0005,2022,4,88.85,97.93,97.98,78.59,55.1,89.0,5
SC000073,SUP0005,2023,1,67.08,90.27,98.76,79.36,87.53,83.65,2
SC000074,SUP0005,2023,2,83.39,88.69,83.9,78.63,80.05,84.27,0
SC000075,SUP0005,2023,3,65.13,96.95,81.24,93.39,53.22,79.53,4
SC000076,SUP0005,2023,4,96.45,89.39,78.44,86.34,52.04,85.28,0
SC000077,SUP0005,2024,1,88.89,97.76,99.1,62.09,85.16,90.54,5
SC000078,SUP0005,2024,2,69.62,88.95,75.0,85.77,64.25,77.57,4
SC000079,SUP0005,2024,3,56.89,92.42,70.45,66.26,64.12,71.92,5
SC000080,SUP0005,2024,4,77.65,87.1,74.06,95.8,57.2,79.54,5
SC000081,SUP0006,2021,1,68.58,90.72,85.75,81.14,71.48,80.2,3
SC000082,SUP0006,2021,2,99.34,98.34,78.29,68.75,67.58,88.59,5
SC000083,SUP0006,2021,3,71.47,87.59,92.73,88.12,82.61,83.34,1
SC000084,SUP0006,2021,4,94.84,92.42,90.81,97.03,54.97,89.54,2
SC000085,SUP0006,2022,1,86.33,95.99,86.8,99.62,65.7,88.59,4
SC000086,SUP0006,2022,2,79.61,98.79,87.38,95.26,94.63,89.98,5
SC000087,SUP0006,2022,3,90.47,92.35,93.17,96.9,89.47,92.12,3
SC000088,SUP0006,2022,4,77.79,95.73,92.19,73.88,50.75,82.96,0
SC000089,SUP0006,2023,1,92.81,85.89,78.45,90.56,68.36,85.19,1
SC000090,SUP0006,2023,2,89.15,95.58,96.16,97.15,66.56,91.02,2
SC000091,SUP0006,2023,3,97.58,89.24,92.52,83.0,95.33,92.38,4
SC000092,SUP0006,2023,4,87.09,92.3,79.3,81.19,93.44,87.14,3
SC000093,SUP0006,2024,1,95.36,89.24,76.27,98.3,55.79,86.04,0
SC000094,SUP0006,2024,2,67.57,87.91,82.85,84.11,51.7,76.79,0
SC000095,SUP0006,2024,3,70.54,97.75,87.22,68.28,98.92,84.65,1
SC000096,SUP0006,2024,4,55.89,88.06,75.7,94.61,65.44,74.33,5
SC000097,SUP0007,2021,1,83.92,88.34,85.18,85.75,71.34,84.42,3
SC000098,SUP0007,2021,2,79.23,94.5,87.57,91.94,51.0,83.93,2
SC000099,SUP0007,2021,3,78.81,91.6,70.04,88.19,72.03,81.15,4
SC000100,SUP0007,2021,4,62.09,85.14,84.05,73.44,54.64,73.79,2
SC000101,SUP0007,2022,1,73.84,88.62,92.91,61.86,77.0,81.21,1
SC000102,SUP0007,2022,2,79.07,85.65,82.69,81.78,58.66,80.0,5
SC000103,SUP0007,2022,3,86.45,91.93,92.41,92.69,60.41,87.31,0
SC000104,SUP0007,2022,4,94.61,91.08,74.67,69.61,83.24,85.93,1
SC000105,SUP0007,2023,1,65.41,86.8,83.12,99.42,51.91,77.42,5
SC000106,SUP0007,2023,2,79.73,89.54,92.56,80.4,81.91,85.52,5
SC000107,SUP0007,2023,3,89.1,95.83,75.15,63.35,89.41,85.78,1
SC000108,SUP0007,2023,4,96.2,92.4,89.71,61.22,70.53,87.7,0
SC000109,SUP0007,2024,1,95.98,85.1,92.26,95.74,91.56,91.51,3
SC000110,SUP0007,2024,2,60.0,93.04,88.72,62.05,93.14,79.18,5
SC000111,SUP0007,2024,3,78.85,93.6,73.8,84.91,87.54,83.74,1
SC000112,SUP0007,2024,4,93.6,91.77,89.27,71.56,94.51,90.07,4
SC000113,SUP0008,2021,1,99.61,89.59,74.48,80.5,51.92,84.9,2
SC000114,SUP0008,2021,2,57.1,87.67,89.09,78.17,80.66,77.13,0
SC000115,SUP0008,2021,3,83.79,99.44,73.65,83.77,69.87,85.06,5
SC000116,SUP0008,2021,4,86.25,94.52,84.78,82.29,67.46,86.16,2
SC000117,SUP0008,2022,1,69.59,97.79,88.87,87.55,86.99,85.44,4
SC000118,SUP0008,2022,2,68.04,99.65,78.34,70.95,58.81,78.95,5
SC000119,SUP0008,2022,3,84.75,86.65,81.44,89.52,62.83,82.94,3
SC000120,SUP0008,2022,4,80.48,89.51,99.47,70.36,84.29,86.36,2
SC000121,SUP0008,2023,1,70.33,95.11,79.21,69.09,63.92,78.77,4
SC000122,SUP0008,2023,2,97.11,87.01,88.13,71.42,97.88,89.79,0
SC000123,SUP0008,2023,3,73.22,95.91,86.77,86.82,53.5,82.12,5
SC000124,SUP0008,2023,4,99.35,99.51,70.9,72.35,70.25,88.1,5
SC000125,SUP0008,2024,1,74.03,91.7,86.01,76.09,54.32,79.96,2
SC000126,SUP0008,2024,2,58.04,97.17,97.92,88.46,97.28,84.72,4
SC000127,SUP0008,2024,3,81.49,91.55,70.89,98.18,60.46,81.95,2
SC000128,SUP0008,2024,4,96.09,95.81,81.97,78.35,74.15,89.21,2
SC000129,SUP0009,2021,1,69.75,90.11,87.96,64.79,73.63,79.39,2
SC000130,SUP0009,2021,2,63.74,97.47,99.47,68.23,87.42,83.82,0
SC000131,SUP0009,2021,3,61.31,93.59,87.18,60.06,56.43,75.56,5
SC000132,SUP0009,2021,4,75.06,88.09,73.59,85.92,93.06,81.56,5
SC000133,SUP0009,2022,1,89.07,91.26,78.28,97.87,50.37,84.58,1
SC000134,SUP0009,2022,2,60.48,93.35,97.04,89.57,82.87,82.8,2
SC000135,SUP0009,2022,3,70.88,87.34,96.26,70.99,77.76,81.59,3
SC000136,SUP0009,2022,4,58.05,96.01,79.71,77.26,74.16,77.3,1
SC000137,SUP0009,2023,1,74.47,87.48,98.39,66.45,53.32,80.24,3
SC000138,SUP0009,2023,2,80.98,99.1,96.83,61.96,56.38,85.22,3
SC000139,SUP0009,2023,3,73.81,96.49,86.83,67.32,84.57,83.64,1
SC000140,SUP0009,2023,4,69.7,85.91,97.39,62.99,98.49,82.31,4
SC000141,SUP0009,2024,1,87.85,97.45,73.29,82.08,90.36,87.49,3
SC000142,SUP0009,2024,2,79.86,99.79,72.46,64.11,71.83,81.98,2
SC000143,SUP0009,2024,3,71.72,98.2,91.79,91.74,74.23,85.93,0
SC000144,SUP0009,2024,4,72.94,95.49,81.23,78.08,51.68,79.75,1
SC000145,SUP0010,2021,1,83.58,94.09,81.65,90.79,84.1,87.12,4
SC000146,SUP0010,2021,2,80.85,85.48,91.97,66.06,99.24,84.82,3
SC000147,SUP0010,2021,3,58.25,90.09,92.58,71.8,66.47,76.85,5
SC000148,SUP0010,2021,4,77.45,89.05,94.97,83.02,97.01,86.95,1
SC000149,SUP0010,2022,1,87.29,93.32,94.99,79.09,79.26,89.02,2
SC000150,SUP0010,2022,2,89.64,87.52,83.82,84.8,92.8,87.67,1
SC000151,SUP0010,2022,3,66.78,89.28,84.53,94.41,70.58,80.22,3
SC000152,SUP0010,2022,4,95.78,93.17,77.04,79.41,99.48,89.98,1
SC000153,SUP0010,2023,1,60.51,88.82,77.78,83.24,95.26,78.2,0
SC000154,SUP0010,2023,2,89.49,88.74,82.67,94.4,80.93,87.54,2
SC000155,SUP0010,2023,3,65.78,92.11,91.17,82.15,53.63,79.18,5
SC000156,SUP0010,2023,4,97.8,87.75,98.47,77.84,64.48,89.59,0
SC000157,SUP0010,2024,1,89.96,94.94,82.72,82.97,86.05,88.92,0
SC000158,SUP0010,2024,2,62.55,85.37,78.94,89.71,80.96,77.23,1
SC000159,SUP0010,2024,3,84.42,93.65,73.64,99.69,78.37,85.95,0
SC000160,SUP0010,2024,4,90.56,95.33,71.34,63.36,64.14,82.78,1
SC000161,SUP0011,2021,1,62.56,95.26,73.93,70.45,85.48,77.73,0
SC000162,SUP0011,2021,2,99.63,97.97,72.48,90.52,80.63,90.89,3
SC000163,SUP0011,2021,3,58.47,88.78,83.63,66.94,86.03,76.2,4
SC000164,SUP0011,2021,4,61.73,93.77,77.63,66.98,56.39,74.51,1
SC000165,SUP0011,2022,1,91.46,91.85,95.45,83.49,83.24,90.76,5
SC000166,SUP0011,2022,2,94.04,92.09,87.0,80.31,73.92,88.66,2
SC000167,SUP0011,2022,3,69.32,85.34,85.57,68.06,76.62,77.98,4
SC000168,SUP0011,2022,4,78.92,92.56,89.82,60.04,85.93,84.01,3
SC000169,SUP0011,2023,1,90.83,94.97,74.54,95.39,92.66,89.45,3
SC000170,SUP0011,2023,2,79.14,97.78,89.0,88.79,59.6,85.72,5
SC000171,SUP0011,2023,3,94.6,97.17,95.25,90.0,87.31,94.31,4
SC000172,SUP0011,2023,4,80.86,90.71,70.16,86.79,67.13,80.89,2
SC000173,SUP0011,2024,1,78.85,85.8,94.5,70.08,50.46,80.35,1
SC000174,SUP0011,2024,2,82.36,99.99,80.0,64.03,88.89,86.0,0
SC000175,SUP0011,2024,3,56.86,92.87,97.75,90.17,66.99,80.18,1
SC000176,SUP0011,2024,4,77.92,86.52,95.37,92.41,54.88,83.14,5
SC000177,SUP0012,2021,1,82.69,91.96,87.91,97.94,86.34,88.41,1
SC000178,SUP0012,2021,2,69.1,99.45,80.85,78.96,78.82,82.51,4
SC000179,SUP0012,2021,3,74.91,89.21,90.99,68.1,64.89,80.73,2
SC000180,SUP0012,2021,4,61.79,91.78,75.01,95.33,71.39,77.74,5
SC000181,SUP0012,2022,1,59.51,99.1,99.57,96.96,55.62,82.75,0
SC000182,SUP0012,2022,2,69.25,99.5,73.97,98.77,53.26,80.62,4
SC000183,SUP0012,2022,3,82.78,97.41,90.83,97.4,87.87,90.75,1
SC000184,SUP0012,2022,4,75.14,92.56,87.59,85.78,72.06,83.61,1
SC000185,SUP0012,2023,1,65.26,97.59,98.09,86.48,79.56,85.08,1
SC000186,SUP0012,2023,2,97.95,88.76,86.41,71.68,81.88,88.65,2
SC000187,SUP0012,2023,3,81.8,89.21,77.82,72.52,94.78,83.6,2
SC000188,SUP0012,2023,4,90.53,92.99,81.48,96.17,50.2,85.99,3
SC000189,SUP0012,2024,1,91.95,88.27,75.74,72.53,94.14,85.88,3
SC000190,SUP0012,2024,2,71.84,86.86,78.82,82.52,91.01,80.73,5
SC000191,SUP0012,2024,3,75.5,99.34,87.37,91.6,53.4,84.43,2
SC000192,SUP0012,2024,4,66.71,96.31,94.72,91.01,94.42,86.39,4
SC000193,SUP0013,2021,1,67.28,99.63,91.0,92.04,85.47,86.02,5
SC000194,SUP0013,2021,2,56.97,98.65,95.84,60.45,86.54,80.55,2
SC000195,SUP0013,2021,3,98.44,85.34,71.12,90.28,73.93,85.78,4
SC000196,SUP0013,2021,4,71.84,85.73,93.29,82.12,90.74,83.22,1
SC000197,SUP0013,2022,1,57.12,86.77,75.1,97.7,76.38,75.59,3
SC000198,SUP0013,2022,2,85.12,91.06,83.28,99.78,52.54,84.74,2
SC000199,SUP0013,2022,3,58.14,93.52,74.39,83.21,82.59,76.96,3
SC000200,SUP0013,2022,4,55.75,85.44,77.4,71.3,77.14,72.68,0
SC000201,SUP0013,2023,1,67.17,87.11,87.03,79.73,69.35,78.6,3
SC000202,SUP0013,2023,2,72.88,89.69,72.19,75.29,78.41,78.58,0
SC000203,SUP0013,2023,3,56.78,88.35,92.7,67.37,63.62,75.18,5
SC000204,SUP0013,2023,4,96.95,90.21,71.44,89.21,63.06,85.66,5
SC000205,SUP0013,2024,1,58.11,86.39,74.18,77.2,52.87,71.19,4
SC000206,SUP0013,2024,2,70.91,90.61,98.57,62.61,60.73,80.5,5
SC000207,SUP0013,2024,3,78.8,85.23,84.82,82.0,72.36,81.61,3
SC000208,SUP0013,2024,4,94.8,88.88,78.67,69.45,85.36,86.32,5
SC000209,SUP0014,2021,1,71.07,90.61,81.89,87.25,66.93,80.3,2
SC000210,SUP0014,2021,2,58.92,93.34,79.36,73.1,95.45,78.41,0
SC000211,SUP0014,2021,3,64.91,86.36,84.87,87.37,94.75,80.57,5
SC000212,SUP0014,2021,4,58.65,87.94,86.27,81.42,87.9,78.16,2
SC000213,SUP0014,2022,1,79.45,94.74,94.17,86.74,90.39,88.8,5
SC000214,SUP0014,2022,2,75.17,91.31,84.28,90.43,99.65,85.81,5
SC000215,SUP0014,2022,3,85.67,89.55,95.39,76.7,51.62,84.48,4
SC000216,SUP0014,2022,4,74.76,85.5,81.68,91.21,68.49,80.38,0
SC000217,SUP0014,2023,1,84.91,95.47,77.3,64.18,74.87,83.48,2
SC000218,SUP0014,2023,2,71.03,95.1,98.97,63.01,57.42,81.68,4
SC000219,SUP0014,2023,3,86.96,96.25,85.8,97.31,71.15,88.97,3
SC000220,SUP0014,2023,4,84.85,91.34,77.72,61.37,92.29,83.77,5
SC000221,SUP0014,2024,1,86.15,91.39,77.52,68.52,96.35,85.25,3
SC000222,SUP0014,2024,2,65.11,93.02,90.19,89.26,96.17,84.02,1
SC000223,SUP0014,2024,3,60.33,99.48,81.95,78.34,84.76,80.64,0
SC000224,SUP0014,2024,4,58.25,91.14,89.18,81.42,64.32,77.23,4
SC000225,SUP0015,2021,1,63.5,92.85,94.57,95.95,84.42,83.86,4
SC000226,SUP0015,2021,2,63.92,90.47,76.56,96.63,80.95,79.39,0
SC000227,SUP0015,2021,3,79.67,91.93,79.36,78.57,81.39,83.35,4
SC000228,SUP0015,2021,4,72.23,88.45,93.26,60.03,94.41,82.3,1
SC000229,SUP0015,2022,1,94.32,91.06,85.64,62.0,65.88,85.53,3
SC000230,SUP0015,2022,2,56.43,99.58,79.0,81.9,78.04,78.6,1
SC000231,SUP0015,2022,3,57.3,86.27,88.02,67.64,58.64,73.3,4
SC000232,SUP0015,2022,4,61.39,85.37,94.11,64.24,97.71,79.05,1
SC000233,SUP0015,2023,1,65.93,85.22,73.67,86.63,99.79,78.72,3
SC000234,SUP0015,2023,2,76.91,86.31,72.72,99.47,60.72,79.53,4
SC000235,SUP0015,2023,3,83.35,96.03,89.72,80.96,85.46,88.4,0
SC000236,SUP0015,2023,4,55.15,92.91,81.24,84.62,87.13,77.84,0
SC000237,SUP0015,2024,1,70.96,99.58,90.67,65.42,83.86,84.22,5
SC000238,SUP0015,2024,2,98.25,89.38,93.38,75.57,88.83,91.4,5
SC000239,SUP0015,2024,3,65.34,92.83,98.02,67.33,78.63,81.65,4
SC000240,SUP0015,2024,4,75.2,93.09,90.29,89.11,59.22,83.38,0
SC000241,SUP0016,2021,1,57.51,91.25,73.71,72.2,63.41,72.93,4
SC000242,SUP0016,2021,2,57.4,90.11,79.62,69.27,72.28,74.33,1
SC000243,SUP0016,2021,3,59.7,94.92,72.01,64.92,74.18,74.7,1
SC000244,SUP0016,2021,4,79.67,95.4,99.56,66.13,82.41,87.29,0
SC000245,SUP0016,2022,1,73.29,91.04,96.65,81.78,69.58,83.77,0
SC000246,SUP0016,2022,2,94.82,98.66,79.35,92.23,79.92,91.13,3
SC000247,SUP0016,2022,3,80.96,95.7,78.85,83.88,66.05,83.76,1
SC000248,SUP0016,2022,4,89.51,91.93,96.03,97.45,68.57,90.24,2
SC000249,SUP0016,2023,1,89.68,92.79,84.21,97.95,64.77,87.86,4
SC000250,SUP0016,2023,2,77.27,93.07,94.93,72.14,62.75,83.58,3
SC000251,SUP0016,2023,3,79.32,93.23,97.51,78.88,80.03,87.16,5
SC000252,SUP0016,2023,4,62.13,99.36,75.71,90.15,98.43,82.45,3
SC000253,SUP0016,2024,1,93.22,85.73,96.85,64.56,88.72,88.38,1
SC000254,SUP0016,2024,2,83.49,93.77,77.31,85.03,83.35,85.48,2
SC000255,SUP0016,2024,3,56.12,94.52,94.94,97.76,61.38,80.09,5
SC000256,SUP0016,2024,4,98.34,89.59,71.49,61.59,89.02,85.74,0
SC000257,SUP0017,2021,1,74.38,94.02,99.76,60.98,71.47,83.72,4
SC000258,SUP0017,2021,2,85.21,96.25,80.65,65.16,50.47,82.13,4
SC000259,SUP0017,2021,3,90.98,90.23,71.87,96.4,61.12,84.49,5
SC000260,SUP0017,2021,4,63.72,86.6,77.55,86.2,57.41,74.97,1
SC000261,SUP0017,2022,1,97.6,87.87,83.26,81.68,82.45,88.71,1
SC000262,SUP0017,2022,2,83.86,94.1,76.81,84.48,53.37,82.54,5
SC000263,SUP0017,2022,3,87.54,96.32,87.06,81.16,63.97,87.08,1
SC000264,SUP0017,2022,4,89.1,98.51,86.36,97.65,70.42,90.36,1
SC000265,SUP0017,2023,1,76.19,86.58,78.36,67.85,59.12,77.2,4
SC000266,SUP0017,2023,2,71.43,88.58,99.42,97.6,78.47,85.49,5
SC000267,SUP0017,2023,3,96.4,97.95,79.49,93.02,77.86,91.29,4
SC000268,SUP0017,2023,4,55.46,98.2,94.26,82.07,73.61,80.52,2
SC000269,SUP0017,2024,1,79.78,94.65,94.52,86.89,86.78,88.6,4
SC000270,SUP0017,2024,2,94.29,89.59,91.11,64.34,96.53,89.47,2
SC000271,SUP0017,2024,3,88.91,98.14,96.58,61.69,92.88,90.89,0
SC000272,SUP0017,2024,4,96.55,93.06,74.96,94.12,71.72,88.46,0
SC000273,SUP0018,2021,1,68.17,92.73,70.77,69.36,92.63,78.62,1
SC000274,SUP0018,2021,2,86.06,98.23,96.69,62.39,88.27,89.69,2
SC000275,SUP0018,2021,3,70.45,86.61,94.47,92.99,90.03,84.31,5
SC000276,SUP0018,2021,4,90.6,99.26,78.37,84.14,60.3,87.08,1
SC000277,SUP0018,2022,1,97.81,93.35,87.78,65.51,54.8,86.94,3
SC000278,SUP0018,2022,2,81.12,86.43,81.55,80.68,72.87,81.93,4
SC000279,SUP0018,2022,3,79.17,92.5,73.71,99.65,93.54,85.56,3
SC000280,SUP0018,2022,4,97.08,87.42,97.76,64.54,80.37,89.39,3
SC000281,SUP0018,2023,1,87.78,86.54,80.69,61.37,94.73,84.04,1
SC000282,SUP0018,2023,2,59.86,85.74,86.2,95.81,92.79,79.78,3
SC000283,SUP0018,2023,3,97.01,95.88,77.12,83.62,85.63,90.22,0
SC000284,SUP0018,2023,4,91.19,98.89,97.24,92.57,61.03,91.83,3
SC000285,SUP0018,2024,1,71.37,96.37,87.82,96.21,90.95,86.6,3
SC000286,SUP0018,2024,2,73.43,87.14,71.7,79.37,54.08,75.86,5
SC000287,SUP0018,2024,3,77.94,97.15,89.28,65.93,98.49,86.83,0
SC000288,SUP0018,2024,4,60.79,89.05,77.31,61.5,60.62,72.63,1
SC000289,SUP0019,2021,1,70.98,98.05,85.18,84.69,76.93,83.91,3
SC000290,SUP0019,2021,2,90.73,85.91,77.52,89.04,68.59,84.26,3
SC000291,SUP0019,2021,3,85.78,97.41,83.32,79.05,51.93,84.72,4
SC000292,SUP0019,2021,4,87.13,92.91,81.38,71.99,89.65,86.45,5
SC000293,SUP0019,2022,1,74.99,96.1,85.62,70.58,94.76,84.98,1
SC000294,SUP0019,2022,2,87.3,90.16,74.21,99.78,52.4,83.3,1
SC000295,SUP0019,2022,3,82.68,97.61,90.85,97.08,99.67,91.93,0
SC000296,SUP0019,2022,4,59.56,86.59,99.32,92.38,80.27,80.97,0
SC000297,SUP0019,2023,1,75.63,97.83,75.92,62.74,71.66,80.66,4
SC000298,SUP0019,2023,2,84.9,88.52,71.73,76.1,86.3,82.61,0
SC000299,SUP0019,2023,3,59.15,89.97,78.49,67.89,61.16,73.34,5
SC000300,SUP0019,2023,4,66.19,96.82,74.31,72.92,80.21,79.08,4
SC000301,SUP0019,2024,1,87.62,90.66,72.13,63.51,67.28,80.99,0
SC000302,SUP0019,2024,2,76.46,93.96,90.24,92.26,62.46,84.65,2
SC000303,SUP0019,2024,3,76.0,86.64,87.67,70.82,75.83,80.99,4
SC000304,SUP0019,2024,4,87.15,99.61,93.98,63.72,96.7,90.87,5
SC000305,SUP0020,2021,1,64.52,87.16,88.17,61.99,78.13,77.15,5
SC000306,SUP0020,2021,2,91.88,86.91,99.25,67.97,64.99,86.78,5
SC000307,SUP0020,2021,3,75.67,90.15,98.63,62.47,78.02,83.52,5
SC000308,SUP0020,2021,4,57.84,99.53,78.68,76.24,51.17,75.69,3
SC000309,SUP0020,2022,1,56.75,97.76,72.96,85.61,68.1,76.32,5
SC000310,SUP0020,2022,2,94.65,94.55,87.43,76.95,51.11,87.05,1
SC000311,SUP0020,2022,3,96.32,94.33,95.23,90.94,59.47,91.28,4
SC000312,SUP0020,2022,4,94.38,95.77,89.68,87.06,58.1,89.5,2
SC000313,SUP0020,2023,1,93.77,95.74,80.29,75.49,74.05,87.87,2
SC000314,SUP0020,2023,2,75.21,94.53,94.22,69.2,59.9,82.68,3
SC000315,SUP0020,2023,3,65.16,94.93,85.73,93.57,87.56,83.29,2
SC000316,SUP0020,2023,4,90.14,88.8,75.85,80.84,66.65,83.6,2
SC000317,SUP0020,2024,1,67.88,92.52,79.59,73.22,62.25,77.58,4
SC000318,SUP0020,2024,2,62.09,98.43,84.46,79.78,58.82,78.91,2
SC000319,SUP0020,2024,3,91.8,85.69,86.12,95.91,67.86,86.85,2
SC000320,SUP0020,2024,4,68.58,85.54,89.69,89.69,67.97,79.94,0
SC000321,SUP0021,2021,1,65.01,89.17,81.48,99.72,61.44,78.67,0
SC000322,SUP0021,2021,2,79.37,92.15,89.8,65.93,73.09,83.32,5
SC000323,SUP0021,2021,3,77.24,94.72,74.97,78.88,63.64,80.83,3
SC000324,SUP0021,2021,4,90.49,85.59,85.22,64.61,61.83,82.51,1
SC000325,SUP0021,2022,1,98.3,94.48,93.81,87.5,57.11,91.06,3
SC000326,SUP0021,2022,2,99.25,94.59,75.08,61.58,82.66,87.59,2
SC000327,SUP0021,2022,3,82.95,89.46,98.5,87.85,98.25,90.03,5
SC000328,SUP0021,2022,4,59.35,85.28,95.69,90.77,55.35,77.14,5
SC000329,SUP0021,2023,1,91.76,90.39,96.41,62.92,63.59,86.58,2
SC000330,SUP0021,2023,2,56.38,99.17,77.47,73.93,97.03,79.25,2
