po_id,supplier_id,product_id,plant_id,order_date,fiscal_year,fiscal_month,scheduled_delivery,actual_delivery,delay_days,quantity_ordered,unit_price_usd,total_value_usd,status,defect_rate_pct,on_time_delivery
PO000104,SUP0020,PRD0049,PLT008,2022-08-08,2022,8,2022-08-23,2022-09-03,11,1590,1631.71,2594418.9,In Transit,0.41,N
PO000105,SUP0034,PRD0043,PLT007,2023-12-06,2023,12,2023-12-23,2023-12-23,0,666,908.74,605220.84,Delayed,4.58,Y
PO000106,SUP0011,PRD0050,PLT006,2024-07-16,2024,7,2024-08-09,2024-09-02,24,1151,457.51,526594.01,In Transit,2.92,N
PO000107,SUP0076,PRD0012,PLT004,2024-08-18,2024,8,2024-08-23,2024-08-21,-2,1678,544.4,913503.2,Cancelled,0.91,Y
PO000108,SUP0114,PRD0041,PLT002,2022-11-13,2022,11,2022-12-07,2022-12-07,0,213,1858.03,395760.39,Cancelled,0.86,Y
PO000109,SUP0065,PRD0046,PLT006,2021-09-03,2021,9,2021-09-12,2021-09-12,0,3520,194.37,684182.4,In Transit,2.51,Y
PO000110,SUP0088,PRD0055,PLT001,2023-11-25,2023,11,2023-12-05,2023-12-05,0,3769,636.29,2398177.01,In Transit,5.82,Y
PO000111,SUP0107,PRD0049,PLT005,2023-02-28,2023,2,2023-04-13,2023-04-13,0,4413,442.59,1953149.67,In Transit,6.43,Y
PO000112,SUP0119,PRD0050,PLT006,2021-01-01,2021,1,2021-02-10,2021-02-10,0,3263,25.09,81868.67,Partial,0.5,Y
PO000113,SUP0078,PRD0028,PLT003,2021-11-12,2021,11,2021-11-16,2021-12-12,26,3538,1747.06,6181098.28,Delivered,7.32,N
PO000114,SUP0040,PRD0047,PLT004,2022-02-26,2022,2,2022-03-16,2022-03-16,0,2734,311.92,852789.28,Delivered,6.41,Y
PO000115,SUP0065,PRD0046,PLT005,2022-04-26,2022,4,2022-05-05,2022-05-27,22,1498,959.1,1436731.8,Cancelled,6.38,N
PO000116,SUP0026,PRD0044,PLT006,2024-08-26,2024,8,2024-09-15,2024-10-13,28,124,1466.28,181818.72,Delivered,3.66,N
PO000117,SUP0015,PRD0003,PLT001,2021-12-16,2021,12,2022-01-26,2022-01-26,0,2015,1374.26,2769133.9,Delayed,2.41,Y
PO000118,SUP0067,PRD0037,PLT002,2023-04-26,2023,4,2023-05-21,2023-05-21,0,1393,711.26,990785.18,Partial,2.72,Y
PO000119,SUP0049,PRD0035,PLT005,2023-06-08,2023,6,2023-06-12,2023-06-12,0,4380,640.06,2803462.8,Delivered,0.17,Y
PO000120,SUP0058,PRD0032,PLT007,2024-12-11,2024,12,2025-01-08,2025-01-08,0,639,1546.3,988085.7,Delayed,2.23,Y
PO000121,SUP0045,PRD0003,PLT007,2024-06-11,2024,6,2024-06-28,2024-06-28,0,2491,1474.02,3671783.82,Cancelled,3.62,Y
PO000122,SUP0030,PRD0043,PLT006,2021-01-04,2021,1,2021-02-14,2021-02-14,0,1921,1558.61,2994089.81,Cancelled,3.18,Y
PO000123,SUP0117,PRD0049,PLT008,2024-07-15,2024,7,2024-08-23,2024-08-26,3,4239,1811.25,7677888.75,Delayed,1.89,N
PO000124,SUP0091,PRD0059,PLT001,2024-03-06,2024,3,2024-03-30,2024-03-30,0,1016,1835.41,1864776.56,Delivered,5.15,Y
PO000125,SUP0069,PRD0050,PLT005,2023-07-19,2023,7,2023-09-02,2023-08-28,-5,150,1343.02,201453.0,Cancelled,5.85,Y
PO000126,SUP0077,PRD0013,PLT008,2024-04-20,2024,4,2024-04-28,2024-05-20,22,2911,192.46,560251.06,Cancelled,0.59,N
PO000127,SUP0088,PRD0008,PLT007,2022-10-25,2022,10,2022-11-04,2022-11-04,0,2317,1899.75,4401720.75,Partial,6.99,Y
PO000128,SUP0014,PRD0046,PLT002,2023-12-26,2023,12,2024-01-18,2024-01-18,0,1631,1391.64,2269764.84,Delivered,6.28,Y
PO000129,SUP0053,PRD0045,PLT007,2024-10-05,2024,10,2024-11-04,2024-11-04,0,1053,406.38,427918.14,Cancelled,4.78,Y
PO000130,SUP0067,PRD0032,PLT004,2023-10-22,2023,10,2023-11-16,2023-11-16,0,3880,941.35,3652438.0,Delayed,0.41,Y
PO000131,SUP0027,PRD0024,PLT001,2024-09-06,2024,9,2024-09-16,2024-09-16,0,2064,1110.32,2291700.48,Partial,5.35,Y
PO000132,SUP0089,PRD0058,PLT005,2022-03-04,2022,3,2022-03-23,2022-03-24,1,2027,1915.1,3881907.7,Delivered,4.83,N
PO000133,SUP0074,PRD0010,PLT006,2021-02-20,2021,2,2021-03-03,2021-03-03,0,4521,1535.26,6940910.46,Delivered,5.08,Y
PO000134,SUP0018,PRD0034,PLT005,2023-08-04,2023,8,2023-08-23,2023-08-23,0,2173,28.26,61408.98,Cancelled,5.37,Y
PO000135,SUP0021,PRD0029,PLT005,2021-05-01,2021,5,2021-05-28,2021-05-28,0,974,568.42,553641.08,Delivered,1.17,Y
PO000136,SUP0044,PRD0002,PLT001,2024-03-25,2024,3,2024-04-21,2024-04-18,-3,1721,1659.72,2856378.12,Delivered,5.82,Y
PO000137,SUP0025,PRD0006,PLT005,2023-02-09,2023,2,2023-02-26,2023-03-25,27,4216,691.25,2914310.0,Delivered,6.82,N
PO000138,SUP0089,PRD0039,PLT008,2024-05-04,2024,5,2024-05-23,2024-05-23,0,1815,1192.4,2164206.0,Cancelled,7.7,Y
PO000139,SUP0022,PRD0038,PLT007,2024-10-10,2024,10,2024-11-06,2024-11-06,0,3304,1098.13,3628221.52,In Transit,5.77,Y
PO000140,SUP0100,PRD0044,PLT002,2023-06-19,2023,6,2023-06-27,2023-06-25,-2,3525,1447.44,5102226.0,Delivered,4.71,Y
PO000141,SUP0041,PRD0012,PLT001,2023-01-23,2023,1,2023-02-22,2023-02-22,0,4346,1626.6,7069203.6,Delayed,0.09,Y
PO000142,SUP0066,PRD0056,PLT006,2024-11-21,2024,11,2024-12-24,2024-12-24,0,3699,1058.98,3917167.02,Delivered,2.52,Y
PO000143,SUP0114,PRD0010,PLT008,2021-02-20,2021,2,2021-03-16,2021-04-08,23,3795,291.81,1107418.95,In Transit,5.66,N
PO000144,SUP0048,PRD0044,PLT001,2021-04-23,2021,4,2021-05-15,2021-05-12,-3,4765,1939.17,9240145.05,Partial,6.67,Y
PO000145,SUP0118,PRD0056,PLT006,2024-06-15,2024,6,2024-07-15,2024-07-15,0,2648,1662.76,4402988.48,Delayed,5.99,Y
PO000146,SUP0045,PRD0031,PLT004,2024-04-17,2024,4,2024-05-04,2024-05-04,0,888,329.45,292551.6,Delayed,3.46,Y
PO000147,SUP0045,PRD0004,PLT005,2022-11-10,2022,11,2022-11-27,2022-11-27,0,1989,1699.89,3381081.21,Cancelled,3.28,Y
PO000148,SUP0004,PRD0014,PLT007,2021-01-04,2021,1,2021-02-11,2021-02-20,9,3644,769.62,2804495.28,Partial,5.6,N
PO000149,SUP0059,PRD0053,PLT006,2023-08-01,2023,8,2023-08-09,2023-08-09,0,492,898.64,442130.88,Partial,3.89,Y
PO000150,SUP0089,PRD0009,PLT006,2021-06-19,2021,6,2021-07-08,2021-07-08,0,549,438.56,240769.44,Delayed,1.72,Y
PO000151,SUP0119,PRD0037,PLT005,2022-01-28,2022,1,2022-03-09,2022-03-19,10,937,240.9,225723.3,Delayed,2.94,N
PO000152,SUP0033,PRD0038,PLT002,2023-11-03,2023,11,2023-12-15,2023-12-15,0,4288,1256.17,5386456.96,Delivered,0.92,Y
PO000153,SUP0097,PRD0016,PLT001,2023-07-17,2023,7,2023-08-14,2023-08-16,2,2615,159.16,416203.4,Cancelled,3.65,N
PO000154,SUP0094,PRD0005,PLT002,2021-05-27,2021,5,2021-06-22,2021-06-22,0,2243,672.93,1509381.99,Delivered,4.22,Y
PO000155,SUP0075,PRD0036,PLT001,2023-06-14,2023,6,2023-07-23,2023-07-20,-3,3991,946.37,3776962.67,Delayed,2.77,Y
PO000156,SUP0100,PRD0038,PLT005,2021-03-20,2021,3,2021-03-28,2021-03-28,0,2325,1070.22,2488261.5,Delivered,2.8,Y
PO000157,SUP0100,PRD0005,PLT002,2024-10-06,2024,10,2024-10-14,2024-10-14,0,3772,1333.76,5030942.72,In Transit,6.0,Y
PO000158,SUP0092,PRD0024,PLT002,2022-09-08,2022,9,2022-09-29,2022-09-29,0,2260,870.05,1966313.0,Delayed,5.24,Y
PO000159,SUP0097,PRD0043,PLT008,2023-10-02,2023,10,2023-10-30,2023-10-30,0,4120,1442.69,5943882.8,In Transit,7.77,Y
PO000160,SUP0053,PRD0012,PLT008,2022-10-05,2022,10,2022-11-04,2022-11-02,-2,4980,1478.68,7363826.4,Partial,1.52,Y
PO000161,SUP0035,PRD0043,PLT002,2022-07-21,2022,7,2022-07-24,2022-07-24,0,4703,1653.46,7776222.38,Cancelled,4.49,Y
PO000162,SUP0030,PRD0023,PLT007,2022-12-08,2022,12,2023-01-18,2023-01-16,-2,3077,282.02,867775.54,In Transit,7.96,Y
PO000163,SUP0037,PRD0055,PLT003,2024-09-09,2024,9,2024-10-03,2024-10-03,0,2796,1445.73,4042261.08,Delivered,3.19,Y
PO000164,SUP0034,PRD0006,PLT001,2022-02-24,2022,2,2022-03-13,2022-03-13,0,2696,1099.51,2964278.96,Cancelled,5.74,Y
PO000165,SUP0048,PRD0058,PLT005,2023-08-04,2023,8,2023-08-26,2023-08-26,0,1867,200.7,374706.9,Delivered,2.05,Y
PO000166,SUP0080,PRD0038,PLT006,2024-04-25,2024,4,2024-05-15,2024-05-29,14,4355,1703.28,7417784.4,Delivered,2.76,N
PO000167,SUP0118,PRD0024,PLT008,2022-11-11,2022,11,2022-12-11,2022-12-11,0,2415,1315.37,3176618.55,Delivered,2.12,Y
PO000168,SUP0034,PRD0030,PLT004,2024-01-16,2024,1,2024-02-02,2024-02-02,0,4713,892.06,4204278.78,Delayed,2.01,Y
PO000169,SUP0024,PRD0031,PLT001,2022-04-28,2022,4,2022-05-01,2022-05-01,0,174,1032.97,179736.78,Delivered,7.67,Y
PO000170,SUP0067,PRD0025,PLT003,2023-02-09,2023,2,2023-03-06,2023-03-06,0,1260,281.1,354186.0,Delayed,1.34,Y
PO000171,SUP0003,PRD0034,PLT001,2024-11-04,2024,11,2024-12-13,2024-12-30,17,3792,1046.46,3968176.32,Cancelled,6.3,N
PO000172,SUP0053,PRD0019,PLT008,2022-11-15,2022,11,2022-12-15,2022-12-15,0,1061,847.27,898953.47,Delivered,5.51,Y
PO000173,SUP0050,PRD0043,PLT005,2024-10-13,2024,10,2024-11-19,2024-11-14,-5,3209,531.2,1704620.8,Delivered,0.05,Y
PO000174,SUP0047,PRD0015,PLT003,2024-04-18,2024,4,2024-05-08,2024-05-08,0,131,963.64,126236.84,Partial,5.17,Y
PO000175,SUP0103,PRD0008,PLT004,2022-09-21,2022,9,2022-09-26,2022-09-26,0,2229,1729.32,3854654.28,Delivered,6.4,Y
PO000176,SUP0023,PRD0022,PLT003,2021-03-20,2021,3,2021-04-21,2021-04-21,0,2818,845.03,2381294.54,In Transit,5.83,Y
PO000177,SUP0039,PRD0052,PLT005,2021-09-03,2021,9,2021-10-09,2021-10-09,0,3300,782.0,2580600.0,In Transit,7.66,Y
PO000178,SUP0006,PRD0014,PLT004,2022-04-16,2022,4,2022-04-20,2022-04-15,-5,4312,725.82,3129735.84,Delivered,2.04,Y
PO000179,SUP0098,PRD0027,PLT007,2022-06-08,2022,6,2022-07-18,2022-07-18,0,1803,129.42,233344.26,Delivered,5.9,Y
PO000180,SUP0043,PRD0004,PLT006,2022-08-24,2022,8,2022-09-08,2022-09-08,0,2657,1733.49,4605882.93,Delivered,7.05,Y
PO000181,SUP0048,PRD0007,PLT003,2024-08-16,2024,8,2024-09-07,2024-09-07,0,1328,1354.71,1799054.88,In Transit,6.06,Y
PO000182,SUP0094,PRD0010,PLT006,2024-03-02,2024,3,2024-03-28,2024-03-28,0,1907,1177.34,2245187.38,Cancelled,3.05,Y
PO000183,SUP0037,PRD0012,PLT002,2024-10-16,2024,10,2024-11-09,2024-11-09,0,3769,1335.29,5032708.01,In Transit,1.39,Y
PO000184,SUP0045,PRD0002,PLT003,2024-08-24,2024,8,2024-09-10,2024-09-15,5,2826,557.33,1575014.58,Delivered,5.41,N
