inventory_id,plant_id,product_id,current_stock,reorder_point,safety_stock,days_of_stock,is_shortage_risk,fiscal_year
INV00100,PLT005,PRD0058,2869,559,451,22.0,N,2024
INV00101,PLT006,PRD0047,55,690,317,52.6,Y,2024
INV00102,PLT006,PRD0021,3619,296,144,40.0,N,2024
INV00103,PLT006,PRD0040,4675,728,188,23.6,N,2024
INV00104,PLT006,PRD0039,681,238,160,46.8,N,2024
INV00105,PLT006,PRD0056,505,929,351,20.0,N,2024
INV00106,PLT006,PRD0015,648,574,169,34.3,N,2024
INV00107,PLT006,PRD0042,1694,633,195,3.7,N,2024
INV00108,PLT006,PRD0038,290,505,217,8.6,N,2024
INV00109,PLT006,PRD0048,2493,368,258,50.3,N,2024
INV00110,PLT006,PRD0037,2902,655,202,59.3,N,2024
INV00111,PLT006,PRD0005,1337,967,189,26.2,N,2024
INV00112,PLT006,PRD0055,2026,869,248,50.2,N,2024
INV00113,PLT006,PRD0052,744,901,240,58.0,N,2024
INV00114,PLT006,PRD0007,4139,791,475,15.5,N,2024
INV00115,PLT006,PRD0012,4365,589,112,7.3,N,2024
INV00116,PLT006,PRD0009,3929,938,338,39.4,N,2024
INV00117,PLT006,PRD0023,4910,254,361,24.4,N,2024
INV00118,PLT006,PRD0024,4535,577,461,38.1,N,2024
INV00119,PLT006,PRD0011,2699,519,359,53.1,N,2024
INV00120,PLT006,PRD0008,3303,321,388,4.7,N,2024
INV00121,PLT007,PRD0028,2630,454,325,41.1,N,2024
INV00122,PLT007,PRD0006,2101,568,292,25.0,N,2024
INV00123,PLT007,PRD0004,4955,491,356,49.7,N,2024
INV00124,PLT007,PRD0021,1423,239,457,42.6,N,2024
INV00125,PLT007,PRD0020,3579,354,302,35.5,N,2024
INV00126,PLT007,PRD0014,1592,354,416,21.0,N,2024
INV00127,PLT007,PRD0053,1508,425,406,9.8,N,2024
INV00128,PLT007,PRD0022,1529,353,152,57.0,N,2024
INV00129,PLT007,PRD0010,4132,740,204,29.6,N,2024
INV00130,PLT007,PRD0035,3027,756,346,4.0,N,2024
INV00131,PLT007,PRD0001,3399,630,465,44.1,N,2024
INV00132,PLT007,PRD0039,4157,258,339,11.4,N,2024
INV00133,PLT007,PRD0057,3365,854,428,56.8,N,2024
INV00134,PLT007,PRD0045,1564,645,256,32.2,N,2024
INV00135,PLT007,PRD0037,692,400,448,56.7,N,2024
INV00136,PLT007,PRD0050,1758,388,410,45.3,N,2024
INV00137,PLT007,PRD0054,1222,896,490,2.0,N,2024
INV00138,PLT007,PRD0025,3823,399,161,18.9,N,2024
INV00139,PLT007,PRD0033,4483,343,272,45.7,N,2024
INV00140,PLT007,PRD0042,758,471,360,28.3,N,2024
INV00141,PLT008,PRD0019,1003,207,315,47.2,N,2024
INV00142,PLT008,PRD0028,1759,656,239,10.8,N,2024
INV00143,PLT008,PRD0038,2136,453,251,29.2,N,2024
INV00144,PLT008,PRD0049,1891,560,251,29.8,N,2024
INV00145,PLT008,PRD0045,422,475,253,16.1,N,2024
INV00146,PLT008,PRD0054,2642,476,420,38.7,N,2024
INV00147,PLT008,PRD0020,1081,290,380,18.5,N,2024
INV00148,PLT008,PRD0016,31,412,280,2.7,Y,2024
INV00149,PLT008,PRD0034,2947,879,403,22.1,N,2024
INV00150,PLT008,PRD0051,4559,571,101,57.5,N,2024
INV00151,PLT008,PRD0024,3498,461,168,11.3,N,2024
INV00152,PLT008,PRD0009,2320,420,338,1.8,N,2024
INV00153,PLT008,PRD0032,2711,930,123,52.3,N,2024
INV00154,PLT008,PRD0033,452,667,290,34.6,N,2024
INV00155,PLT008,PRD0026,3081,525,358,44.5,N,2024
INV00156,PLT008,PRD0025,1633,475,259,24.1,N,2024
INV00157,PLT008,PRD0022,2388,735,190,47.2,N,2024
INV00158,PLT008,PRD0057,4605,318,479,40.6,N,2024
INV00159,PLT008,PRD0029,1396,294,281,48.2,N,2024
INV00160,PLT008,PRD0050,2776,545,483,41.4,N,2024
