edge_id,source_supplier_id,target_supplier_id,dependency_type,annual_flow_usd,is_critical_path
NET00091,SUP0115,SUP0054,Raw Material,1223027.94,N
NET00092,SUP0107,SUP0002,Packaging,1084020.96,Y
NET00093,SUP0004,SUP0071,Logistics,1807983.21,N
NET00094,SUP0024,SUP0042,Packaging,514538.38,Y
NET00095,SUP0064,SUP0092,Logistics,1798893.83,Y
NET00096,SUP0013,SUP0082,Raw Material,1111249.43,N
NET00097,SUP0116,SUP0059,Raw Material,661016.29,Y
NET00098,SUP0050,SUP0046,Sub-Component,741270.1,Y
NET00099,SUP0021,SUP0071,Sub-Component,1129925.3,Y
NET00100,SUP0090,SUP0003,Raw Material,973674.58,Y
NET00101,SUP0015,SUP0048,Logistics,496175.09,N
NET00102,SUP0089,SUP0037,Packaging,1189610.8,N
NET00103,SUP0082,SUP0042,Logistics,167756.57,Y
NET00104,SUP0045,SUP0117,Packaging,1877781.77,N
NET00105,SUP0093,SUP0036,Raw Material,675301.62,N
NET00106,SUP0044,SUP0070,Packaging,1697123.53,N
NET00107,SUP0009,SUP0020,Raw Material,1662378.09,Y
NET00108,SUP0101,SUP0099,Logistics,996901.37,Y
NET00109,SUP0019,SUP0091,Raw Material,1187376.41,Y
NET00110,SUP0093,SUP0086,Logistics,689305.01,N
NET00111,SUP0087,SUP0117,Sub-Component,410299.72,N
NET00112,SUP0108,SUP0058,Logistics,129271.52,Y
NET00113,SUP0102,SUP0041,Raw Material,760856.92,Y
NET00114,SUP0109,SUP0095,Raw Material,1893115.37,Y
NET00115,SUP0098,SUP0100,Logistics,1318717.53,N
NET00116,SUP0029,SUP0011,Logistics,1288415.5,N
NET00117,SUP0104,SUP0014,Packaging,190925.65,Y
NET00118,SUP0083,SUP0111,Logistics,1068151.75,N
NET00119,SUP0046,SUP0093,Raw Material,1183310.16,N
NET00120,SUP0106,SUP0035,Logistics,780003.7,Y
NET00121,SUP0074,SUP0112,Logistics,568439.32,N
NET00122,SUP0101,SUP0110,Sub-Component,834195.05,Y
NET00123,SUP0071,SUP0042,Logistics,1057052.33,N
NET00124,SUP0097,SUP0050,Logistics,1542088.32,Y
NET00125,SUP0095,SUP0085,Sub-Component,892945.8,Y
NET00126,SUP0063,SUP0120,Packaging,1494867.54,N
NET00127,SUP0051,SUP0029,Raw Material,816114.81,Y
NET00128,SUP0037,SUP0058,Raw Material,1653049.85,Y
NET00129,SUP0070,SUP0094,Sub-Component,285314.7,Y
NET00130,SUP0093,SUP0107,Logistics,1691233.16,N
NET00131,SUP0044,SUP0031,Sub-Component,495277.47,N
NET00132,SUP0067,SUP0023,Packaging,1454485.4,Y
NET00133,SUP0119,SUP0056,Packaging,517790.13,Y
NET00134,SUP0021,SUP0049,Raw Material,740384.62,Y
NET00135,SUP0101,SUP0086,Sub-Component,1635405.9,N
NET00136,SUP0080,SUP0050,Logistics,1692053.58,Y
NET00137,SUP0072,SUP0090,Packaging,890274.7,N
NET00138,SUP0017,SUP0005,Packaging,112491.08,Y
NET00139,SUP0014,SUP0037,Sub-Component,1862966.99,N
NET00140,SUP0053,SUP0120,Raw Material,1299557.86,N
NET00141,SUP0011,SUP0067,Sub-Component,1405494.07,N
NET00142,SUP0088,SUP0045,Logistics,620669.26,N
NET00143,SUP0036,SUP0027,Packaging,1216646.35,Y
NET00144,SUP0071,SUP0059,Raw Material,954492.94,N
NET00145,SUP0044,SUP0027,Sub-Component,1489288.41,Y
NET00146,SUP0097,SUP0083,Raw Material,1300689.33,N
NET00147,SUP0068,SUP0003,Logistics,744709.37,N
NET00148,SUP0086,SUP0032,Raw Material,601262.86,N
NET00149,SUP0022,SUP0114,Sub-Component,521017.09,Y
NET00150,SUP0050,SUP0043,Packaging,1621025.32,Y
NET00151,SUP0094,SUP0076,Logistics,487097.05,N
NET00152,SUP0024,SUP0091,Logistics,1802406.27,Y
NET00153,SUP0116,SUP0006,Packaging,416229.53,Y
NET00154,SUP0084,SUP0071,Sub-Component,1043436.22,N
NET00155,SUP0031,SUP0074,Logistics,1946942.82,Y
NET00156,SUP0024,SUP0051,Raw Material,1374041.2,N
NET00157,SUP0057,SUP0026,Raw Material,1787463.71,Y
NET00158,SUP0094,SUP0004,Packaging,337955.93,N
NET00159,SUP0095,SUP0013,Raw Material,239683.62,N
NET00160,SUP0086,SUP0085,Logistics,1694078.55,Y
NET00161,SUP0024,SUP0025,Raw Material,176164.06,Y
NET00162,SUP0111,SUP0003,Raw Material,1615593.75,Y
NET00163,SUP0076,SUP0022,Logistics,1643632.9,Y
NET00164,SUP0027,SUP0072,Logistics,1660718.58,N
NET00165,SUP0092,SUP0026,Logistics,1566801.55,Y
NET00166,SUP0102,SUP0079,Raw Material,876962.94,Y
NET00167,SUP0071,SUP0020,Raw Material,862660.63,N
NET00168,SUP0024,SUP0117,Sub-Component,1378465.98,N
NET00169,SUP0099,SUP0020,Logistics,792989.84,N
NET00170,SUP0102,SUP0004,Raw Material,1631354.56,N
NET00171,SUP0050,SUP0016,Sub-Component,1805270.69,Y
NET00172,SUP0041,SUP0004,Packaging,33169.4,Y
NET00173,SUP0020,SUP0042,Packaging,778426.25,N
NET00174,SUP0101,SUP0009,Packaging,1684955.11,N
NET00175,SUP0109,SUP0012,Packaging,862274.35,Y
NET00176,SUP0101,SUP0111,Packaging,1275484.26,N
NET00177,SUP0116,SUP0067,Logistics,1521478.0,N
NET00178,SUP0015,SUP0073,Sub-Component,143378.81,N
NET00179,SUP0041,SUP0010,Packaging,1807591.66,N
NET00180,SUP0100,SUP0033,Raw Material,1102873.23,Y
NET00181,SUP0002,SUP0038,Sub-Component,871608.18,N
NET00182,SUP0052,SUP0017,Packaging,1859755.44,N
NET00183,SUP0050,SUP0113,Sub-Component,214299.9,N
NET00184,SUP0001,SUP0031,Raw Material,276439.53,Y
NET00185,SUP0097,SUP0064,Sub-Component,906490.41,Y
NET00186,SUP0093,SUP0005,Raw Material,1577417.61,N
NET00187,SUP0038,SUP0107,Sub-Component,873683.37,Y
NET00188,SUP0097,SUP0020,Logistics,954028.83,Y
NET00189,SUP0031,SUP0103,Logistics,1049405.24,Y
NET00190,SUP0098,SUP0067,Raw Material,892755.16,Y
NET00191,SUP0087,SUP0049,Raw Material,90328.18,Y
NET00192,SUP0093,SUP0112,Raw Material,1107669.83,N
NET00193,SUP0048,SUP0077,Logistics,830930.01,N
NET00194,SUP0009,SUP0113,Packaging,1476438.16,N
NET00195,SUP0052,SUP0101,Packaging,1013861.19,N
NET00196,SUP0034,SUP0028,Sub-Component,304450.28,Y
NET00197,SUP0038,SUP0041,Raw Material,1198247.82,N
NET00198,SUP0016,SUP0025,Sub-Component,761316.26,N
NET00199,SUP0010,SUP0059,Sub-Component,477399.14,N
NET00200,SUP0086,SUP0010,Raw Material,1730782.17,N
NET00201,SUP0053,SUP0115,Packaging,1393447.58,Y
NET00202,SUP0063,SUP0046,Packaging,1378201.85,Y
NET00203,SUP0066,SUP0072,Packaging,176081.64,Y
NET00204,SUP0012,SUP0097,Sub-Component,1805297.82,N
NET00205,SUP0059,SUP0002,Logistics,32567.41,N
NET00206,SUP0029,SUP0063,Packaging,525388.19,N
NET00207,SUP0064,SUP0018,Sub-Component,994625.22,N
NET00208,SUP0089,SUP0028,Raw Material,1129159.17,Y
NET00209,SUP0015,SUP0067,Logistics,1272055.46,Y
NET00210,SUP0057,SUP0011,Raw Material,646082.95,N
NET00211,SUP0115,SUP0060,Logistics,1676155.7,Y
NET00212,SUP0093,SUP0063,Sub-Component,957894.71,N
NET00213,SUP0098,SUP0111,Packaging,1410357.54,N
NET00214,SUP0068,SUP0049,Packaging,1971173.49,N
NET00215,SUP0038,SUP0089,Sub-Component,1592794.49,Y
NET00216,SUP0089,SUP0013,Sub-Component,1021864.52,N
NET00217,SUP0080,SUP0031,Packaging,1952268.75,N
NET00218,SUP0028,SUP0036,Packaging,354407.58,N
NET00219,SUP0045,SUP0094,Raw Material,1607689.0,N
NET00220,SUP0031,SUP0105,Packaging,69861.58,Y
NET00221,SUP0094,SUP0061,Raw Material,1162891.19,Y
NET00222,SUP0045,SUP0017,Sub-Component,1243181.31,N
NET00223,SUP0119,SUP0007,Packaging,22233.73,N
NET00224,SUP0098,SUP0106,Logistics,686500.84,Y
NET00225,SUP0098,SUP0099,Packaging,1321952.0,N
NET00226,SUP0016,SUP0048,Sub-Component,221258.64,Y
NET00227,SUP0033,SUP0051,Logistics,1102307.77,N
NET00228,SUP0057,SUP0095,Raw Material,1164941.68,N
NET00229,SUP0008,SUP0054,Raw Material,473457.59,N
NET00230,SUP0052,SUP0060,Raw Material,327190.22,N
NET00231,SUP0001,SUP0072,Raw Material,442328.93,N
NET00232,SUP0024,SUP0011,Sub-Component,344957.03,N
NET00233,SUP0103,SUP0019,Sub-Component,918809.48,Y
NET00234,SUP0083,SUP0081,Logistics,723952.21,Y
NET00235,SUP0078,SUP0026,Packaging,500150.76,N
NET00236,SUP0010,SUP0105,Logistics,384104.34,Y
NET00237,SUP0118,SUP0062,Sub-Component,1935897.5,N
NET00238,SUP0086,SUP0119,Logistics,1138393.4,N
NET00239,SUP0057,SUP0053,Raw Material,894652.62,Y
NET00240,SUP0100,SUP0014,Raw Material,997911.75,N
NET00241,SUP0078,SUP0073,Logistics,648468.87,Y
NET00242,SUP0113,SUP0030,Raw Material,1073043.15,N
NET00243,SUP0035,SUP0109,Sub-Component,514995.21,N
NET00244,SUP0062,SUP0085,Logistics,1745591.01,N
NET00245,SUP0046,SUP0063,Sub-Component,952320.05,N
NET00246,SUP0007,SUP0001,Sub-Component,1514668.31,Y
NET00247,SUP0013,SUP0095,Raw Material,1240597.1,N
NET00248,SUP0002,SUP0036,Raw Material,754175.01,N
NET00249,SUP0040,SUP0036,Packaging,554699.06,Y
NET00250,SUP0055,SUP0113,Sub-Component,858212.98,Y
