disruption_id,supplier_id,disruption_type,severity,start_date,end_date,duration_days,fiscal_year,fiscal_month,financial_loss_usd,is_resolved,alternative_supplier_activated
DIS00043,SUP0120,Raw Material Shortage,High,2022-01-28,2022-02-10,13,2022,1,615019.62,Y,N
DIS00044,SUP0096,Quality Recall,Critical,2023-01-13,2023-01-17,4,2023,1,3500579.85,N,N
DIS00045,SUP0010,Logistics Delay,Medium,2023-08-01,2023-10-12,72,2023,8,563944.37,Y,N
DIS00046,SUP0096,Logistics Delay,High,2021-05-17,2021-06-11,25,2021,5,2799729.38,Y,N
DIS00047,SUP0100,Pandemic,Medium,2021-06-20,2021-09-02,74,2021,6,2236976.37,N,Y
DIS00048,SUP0114,Logistics Delay,Low,2022-04-23,2022-06-22,60,2022,4,511744.16,Y,N
DIS00049,SUP0060,Raw Material Shortage,High,2023-06-13,2023-08-29,77,2023,6,1488076.08,Y,N
DIS00050,SUP0005,Pandemic,Medium,2023-09-25,2023-10-03,8,2023,9,1983640.75,Y,Y
DIS00051,SUP0058,Supplier Bankruptcy,High,2023-10-22,2023-11-20,29,2023,10,4169354.65,N,Y
DIS00052,SUP0112,Quality Recall,Medium,2021-03-19,2021-05-05,47,2021,3,608629.85,Y,Y
DIS00053,SUP0043,Natural Disaster,Low,2022-03-14,2022-04-14,31,2022,3,804192.71,Y,Y
DIS00054,SUP0014,Port Strike,Medium,2023-03-03,2023-05-07,65,2023,3,2715771.67,Y,N
DIS00055,SUP0003,Port Strike,Medium,2021-04-25,2021-07-12,78,2021,4,977475.12,Y,Y
DIS00056,SUP0102,Supplier Bankruptcy,Medium,2021-08-10,2021-09-27,48,2021,8,4638273.93,Y,N
DIS00057,SUP0046,Raw Material Shortage,High,2021-05-17,2021-07-31,75,2021,5,3500216.6,N,N
DIS00058,SUP0084,Port Strike,Critical,2023-10-07,2023-10-11,4,2023,10,2144107.75,N,Y
DIS00059,SUP0051,Natural Disaster,Critical,2021-07-21,2021-08-25,35,2021,7,269297.25,Y,N
DIS00060,SUP0074,Raw Material Shortage,Low,2021-11-03,2021-11-06,3,2021,11,418243.98,Y,N
DIS00061,SUP0007,Natural Disaster,Medium,2023-07-03,2023-09-09,68,2023,7,319217.24,Y,N
DIS00062,SUP0110,Cyber Attack,High,2021-08-02,2021-08-14,12,2021,8,4254423.85,N,Y
DIS00063,SUP0086,Natural Disaster,High,2021-08-17,2021-10-07,51,2021,8,1727706.4,N,N
DIS00064,SUP0105,Geopolitical,Critical,2023-09-21,2023-10-14,23,2023,9,3625305.31,Y,N
DIS00065,SUP0082,Raw Material Shortage,High,2024-10-24,2024-12-23,60,2024,10,900188.22,Y,Y
DIS00066,SUP0119,Geopolitical,Medium,2024-08-03,2024-10-13,71,2024,8,838142.58,N,N
DIS00067,SUP0044,Pandemic,High,2024-04-02,2024-06-17,76,2024,4,2101431.39,Y,N
DIS00068,SUP0059,Supplier Bankruptcy,Medium,2024-06-02,2024-06-11,9,2024,6,642648.18,Y,N
DIS00069,SUP0112,Quality Recall,Medium,2022-12-15,2023-03-04,79,2022,12,2819448.35,Y,Y
DIS00070,SUP0090,Raw Material Shortage,Critical,2023-01-21,2023-03-09,47,2023,1,1807859.84,Y,Y
DIS00071,SUP0043,Port Strike,High,2021-06-11,2021-06-14,3,2021,6,3258106.62,Y,N
DIS00072,SUP0054,Raw Material Shortage,Critical,2024-04-25,2024-06-19,55,2024,4,4497411.98,Y,Y
DIS00073,SUP0075,Pandemic,Medium,2021-11-10,2021-12-18,38,2021,11,432755.91,Y,Y
DIS00074,SUP0074,Natural Disaster,Critical,2022-01-06,2022-01-19,13,2022,1,154184.64,Y,Y
DIS00075,SUP0010,Logistics Delay,High,2021-12-06,2022-01-06,31,2021,12,2370059.67,Y,N
DIS00076,SUP0102,Geopolitical,Medium,2021-03-07,2021-06-04,89,2021,3,1633250.98,Y,Y
DIS00077,SUP0120,Natural Disaster,Medium,2023-03-19,2023-04-23,35,2023,3,4399398.68,N,N
DIS00078,SUP0111,Supplier Bankruptcy,Medium,2022-12-07,2023-01-15,39,2022,12,4171177.55,Y,Y
DIS00079,SUP0112,Port Strike,Critical,2023-05-28,2023-07-01,34,2023,5,2111333.31,Y,Y
DIS00080,SUP0015,Logistics Delay,High,2022-02-07,2022-02-26,19,2022,2,2396350.17,Y,Y
DIS00081,SUP0119,Quality Recall,High,2024-02-12,2024-03-27,44,2024,2,168991.02,Y,Y
DIS00082,SUP0098,Cyber Attack,Low,2021-09-05,2021-09-27,22,2021,9,1031099.05,Y,Y
DIS00083,SUP0026,Geopolitical,Medium,2021-08-27,2021-10-18,52,2021,8,33861.78,Y,Y
DIS00084,SUP0079,Geopolitical,Critical,2023-09-15,2023-10-19,34,2023,9,91637.77,Y,N
DIS00085,SUP0040,Cyber Attack,Critical,2021-03-19,2021-04-02,14,2021,3,2757883.12,Y,N
DIS00086,SUP0084,Cyber Attack,Medium,2021-12-10,2022-02-27,79,2021,12,173387.72,N,N
DIS00087,SUP0116,Geopolitical,Critical,2021-06-01,2021-08-25,85,2021,6,3221527.54,Y,N
DIS00088,SUP0116,Cyber Attack,High,2022-11-26,2023-01-18,53,2022,11,4877433.26,Y,N
DIS00089,SUP0096,Natural Disaster,Low,2021-01-21,2021-01-26,5,2021,1,3066188.53,Y,Y
DIS00090,SUP0033,Natural Disaster,Medium,2022-06-19,2022-07-19,30,2022,6,4503334.05,Y,Y
DIS00091,SUP0014,Pandemic,High,2023-10-03,2023-12-06,64,2023,10,3168016.73,Y,Y
DIS00092,SUP0102,Logistics Delay,Low,2024-09-25,2024-12-11,77,2024,9,2316043.05,Y,Y
DIS00093,SUP0051,Quality Recall,High,2023-03-17,2023-05-30,74,2023,3,148680.07,Y,Y
DIS00094,SUP0096,Logistics Delay,High,2023-04-23,2023-05-02,9,2023,4,4365135.69,Y,N
DIS00095,SUP0031,Pandemic,High,2023-01-04,2023-03-12,67,2023,1,3591351.09,Y,N
DIS00096,SUP0089,Port Strike,High,2023-05-17,2023-07-08,52,2023,5,3204518.18,Y,Y
DIS00097,SUP0023,Pandemic,Critical,2021-08-25,2021-09-13,19,2021,8,1529273.22,Y,N
DIS00098,SUP0053,Logistics Delay,High,2022-10-01,2022-11-30,60,2022,10,2941065.24,Y,N
DIS00099,SUP0103,Geopolitical,Low,2022-09-18,2022-10-29,41,2022,9,4908639.92,N,N
DIS00100,SUP0077,Supplier Bankruptcy,Critical,2022-02-28,2022-03-16,16,2022,2,2144916.9,N,Y
DIS00101,SUP0012,Logistics Delay,Medium,2023-08-04,2023-10-06,63,2023,8,4838201.78,N,Y
DIS00102,SUP0098,Logistics Delay,High,2021-12-11,2022-01-27,47,2021,12,1681185.19,Y,Y
DIS00103,SUP0023,Supplier Bankruptcy,High,2021-08-25,2021-10-12,48,2021,8,1990592.37,N,Y
DIS00104,SUP0092,Raw Material Shortage,Medium,2023-06-05,2023-08-22,78,2023,6,689891.89,Y,Y
DIS00105,SUP0064,Cyber Attack,High,2024-01-13,2024-01-21,8,2024,1,4242621.16,Y,Y
DIS00106,SUP0079,Cyber Attack,Critical,2022-07-25,2022-08-16,22,2022,7,2302528.83,N,Y
DIS00107,SUP0014,Raw Material Shortage,Medium,2021-11-16,2021-11-29,13,2021,11,4798497.24,Y,N
DIS00108,SUP0077,Cyber Attack,Medium,2022-10-28,2022-11-20,23,2022,10,3892644.32,Y,N
DIS00109,SUP0044,Geopolitical,Medium,2022-07-11,2022-07-21,10,2022,7,532710.81,Y,N
DIS00110,SUP0111,Pandemic,Medium,2024-03-27,2024-04-18,22,2024,3,2412002.63,Y,N
DIS00111,SUP0095,Cyber Attack,Low,2021-12-18,2021-12-30,12,2021,12,4293085.72,Y,N
DIS00112,SUP0103,Quality Recall,Medium,2024-08-22,2024-11-04,74,2024,8,1817653.05,Y,Y
DIS00113,SUP0033,Logistics Delay,Medium,2022-08-26,2022-09-11,16,2022,8,231889.12,Y,N
DIS00114,SUP0070,Pandemic,Low,2023-04-17,2023-07-15,89,2023,4,1733954.62,Y,N
DIS00115,SUP0037,Supplier Bankruptcy,Low,2024-02-22,2024-05-11,79,2024,2,2310298.37,N,Y
DIS00116,SUP0099,Quality Recall,Medium,2022-11-11,2023-02-05,86,2022,11,2930292.39,Y,Y
DIS00117,SUP0113,Cyber Attack,Low,2022-09-03,2022-11-15,73,2022,9,666549.01,Y,Y
DIS00118,SUP0008,Pandemic,Medium,2022-03-05,2022-05-22,78,2022,3,1872577.58,Y,N
DIS00119,SUP0100,Supplier Bankruptcy,High,2022-09-26,2022-11-16,51,2022,9,3431931.22,Y,N
DIS00120,SUP0075,Port Strike,Low,2022-09-04,2022-10-01,27,2022,9,3922497.09,Y,N
DIS00121,SUP0003,Cyber Attack,Low,2023-01-16,2023-03-08,51,2023,1,92406.08,Y,Y
DIS00122,SUP0057,Logistics Delay,Medium,2021-02-25,2021-04-23,57,2021,2,4410600.33,Y,Y
DIS00123,SUP0053,Logistics Delay,Critical,2024-03-11,2024-03-14,3,2024,3,640153.64,N,Y
DIS00124,SUP0008,Natural Disaster,Medium,2024-03-25,2024-06-09,76,2024,3,1087846.44,Y,Y
DIS00125,SUP0098,Natural Disaster,Low,2022-11-16,2023-02-06,82,2022,11,788054.48,Y,N
DIS00126,SUP0039,Quality Recall,Low,2021-08-02,2021-10-07,66,2021,8,3933356.4,Y,Y
DIS00127,SUP0048,Pandemic,High,2024-12-04,2025-01-10,37,2024,12,2547600.94,Y,Y
DIS00128,SUP0090,Natural Disaster,Medium,2022-05-02,2022-06-20,49,2022,5,3862594.93,Y,Y
DIS00129,SUP0038,Pandemic,Low,2024-02-15,2024-04-01,46,2024,2,797678.55,Y,N
DIS00130,SUP0118,Raw Material Shortage,High,2022-01-12,2022-04-01,79,2022,1,149652.85,Y,N
DIS00131,SUP0003,Supplier Bankruptcy,Medium,2023-02-26,2023-04-26,59,2023,2,528770.47,Y,Y
DIS00132,SUP0003,Logistics Delay,High,2024-04-16,2024-07-01,76,2024,4,1007263.78,Y,Y
DIS00133,SUP0112,Logistics Delay,Medium,2023-11-01,2024-01-05,65,2023,11,2441046.21,Y,N
DIS00134,SUP0055,Natural Disaster,Critical,2021-04-11,2021-04-17,6,2021,4,4095312.51,N,Y
DIS00135,SUP0110,Logistics Delay,Medium,2022-12-21,2023-02-08,49,2022,12,1943544.54,Y,N
DIS00136,SUP0015,Quality Recall,Medium,2021-11-01,2022-01-01,61,2021,11,2084523.27,N,N
DIS00137,SUP0117,Supplier Bankruptcy,Low,2021-05-17,2021-05-22,5,2021,5,1320422.43,N,Y
DIS00138,SUP0086,Natural Disaster,Medium,2022-08-08,2022-10-10,63,2022,8,465772.82,N,N
DIS00139,SUP0017,Logistics Delay,Low,2024-05-08,2024-07-19,72,2024,5,2801731.98,Y,Y
DIS00140,SUP0019,Raw Material Shortage,Critical,2022-01-09,2022-01-17,8,2022,1,4593581.98,Y,Y
DIS00141,SUP0024,Pandemic,High,2024-11-21,2025-01-18,58,2024,11,2578155.92,N,Y
DIS00142,SUP0078,Cyber Attack,High,2023-01-20,2023-04-20,90,2023,1,1400613.91,Y,N
DIS00143,SUP0064,Natural Disaster,Critical,2023-04-05,2023-05-10,35,2023,4,3393359.37,N,N
DIS00144,SUP0081,Geopolitical,Medium,2024-12-01,2025-02-06,67,2024,12,1975518.97,Y,N
DIS00145,SUP0029,Raw Material Shortage,Low,2023-02-03,2023-05-04,90,2023,2,402378.51,Y,Y
DIS00146,SUP0086,Cyber Attack,Critical,2024-10-09,2024-11-01,23,2024,10,4790983.14,Y,N
DIS00147,SUP0040,Quality Recall,Low,2024-08-21,2024-08-31,10,2024,8,2298435.9,Y,Y
DIS00148,SUP0089,Geopolitical,Medium,2024-12-10,2025-01-30,51,2024,12,3480531.06,N,N
DIS00149,SUP0115,Natural Disaster,Low,2021-12-08,2022-01-11,34,2021,12,1790280.41,Y,Y
DIS00150,SUP0012,Pandemic,High,2021-01-10,2021-01-26,16,2021,1,3915124.11,Y,Y
DIS00151,SUP0113,Logistics Delay,Critical,2024-04-06,2024-05-18,42,2024,4,3878517.05,Y,N
DIS00152,SUP0026,Quality Recall,Low,2024-10-28,2024-12-06,39,2024,10,4321142.45,Y,N
DIS00153,SUP0005,Natural Disaster,Medium,2024-02-10,2024-03-22,41,2024,2,2967802.59,N,Y
DIS00154,SUP0044,Geopolitical,Low,2022-06-08,2022-07-31,53,2022,6,2601534.96,Y,N
DIS00155,SUP0002,Natural Disaster,Medium,2022-02-25,2022-03-21,24,2022,2,1908360.73,Y,N
DIS00156,SUP0027,Logistics Delay,Low,2021-06-25,2021-09-07,74,2021,6,4482664.18,Y,N
DIS00157,SUP0057,Quality Recall,Critical,2022-03-23,2022-06-13,82,2022,3,3539413.78,N,Y
DIS00158,SUP0056,Quality Recall,Medium,2022-01-13,2022-02-16,34,2022,1,2662291.72,Y,N
DIS00159,SUP0062,Port Strike,Low,2021-11-12,2021-11-18,6,2021,11,4785323.14,N,Y
DIS00160,SUP0004,Pandemic,High,2023-04-10,2023-05-16,36,2023,4,2581169.78,Y,N
DIS00161,SUP0005,Raw Material Shortage,Medium,2024-05-15,2024-05-19,4,2024,5,2010796.7,N,Y
DIS00162,SUP0036,Supplier Bankruptcy,Low,2021-12-02,2022-01-08,37,2021,12,3956343.06,Y,Y
DIS00163,SUP0085,Cyber Attack,Low,2023-03-17,2023-04-04,18,2023,3,3734727.17,Y,N
DIS00164,SUP0054,Pandemic,Medium,2022-12-23,2023-02-22,61,2022,12,534209.15,Y,Y
DIS00165,SUP0019,Raw Material Shortage,High,2021-12-18,2022-01-12,25,2021,12,774334.65,Y,N
DIS00166,SUP0033,Geopolitical,Medium,2021-03-13,2021-04-11,29,2021,3,859502.5,Y,Y
DIS00167,SUP0003,Natural Disaster,Medium,2022-08-11,2022-08-28,17,2022,8,2274190.02,Y,N
DIS00168,SUP0090,Port Strike,Low,2023-08-20,2023-10-30,71,2023,8,607197.81,Y,Y
DIS00169,SUP0050,Pandemic,Medium,2022-11-21,2022-12-16,25,2022,11,4660694.66,Y,Y
DIS00170,SUP0067,Port Strike,Medium,2023-05-09,2023-07-30,82,2023,5,4451392.7,Y,N
DIS00171,SUP0098,Natural Disaster,Low,2022-07-22,2022-09-21,61,2022,7,4839205.02,Y,Y
DIS00172,SUP0091,Supplier Bankruptcy,High,2024-11-23,2025-02-15,84,2024,11,428116.93,N,N
DIS00173,SUP0093,Natural Disaster,Medium,2024-04-07,2024-05-02,25,2024,4,1675768.23,Y,Y
DIS00174,SUP0032,Quality Recall,Critical,2021-05-26,2021-08-18,84,2021,5,1302079.98,Y,Y
DIS00175,SUP0076,Geopolitical,Medium,2022-03-07,2022-04-01,25,2022,3,12345.22,N,Y
DIS00176,SUP0107,Supplier Bankruptcy,High,2021-06-02,2021-07-09,37,2021,6,869806.53,N,Y
DIS00177,SUP0021,Logistics Delay,Critical,2023-04-12,2023-06-15,64,2023,4,2302755.56,Y,N
DIS00178,SUP0063,Quality Recall,Medium,2024-09-12,2024-12-09,88,2024,9,3506137.03,Y,N
DIS00179,SUP0117,Port Strike,Medium,2023-06-05,2023-07-19,44,2023,6,4212754.77,Y,N
DIS00180,SUP0012,Pandemic,Critical,2022-06-11,2022-07-29,48,2022,6,2315719.28,Y,N
DIS00181,SUP0113,Port Strike,Critical,2024-06-07,2024-06-12,5,2024,6,2796640.54,Y,N
DIS00182,SUP0112,Raw Material Shortage,Medium,2022-01-20,2022-02-20,31,2022,1,1760541.32,N,N
DIS00183,SUP0087,Supplier Bankruptcy,High,2022-03-04,2022-03-30,26,2022,3,2381733.1,Y,Y
DIS00184,SUP0078,Supplier Bankruptcy,Low,2023-01-02,2023-02-22,51,2023,1,2995105.04,N,Y
DIS00185,SUP0040,Port Strike,Critical,2024-12-09,2025-02-15,68,2024,12,4887792.6,N,Y
DIS00186,SUP0031,Cyber Attack,Low,2021-02-12,2021-05-09,86,2021,2,2685521.75,Y,Y
DIS00187,SUP0011,Pandemic,Low,2023-08-09,2023-11-07,90,2023,8,4410093.7,N,Y
DIS00188,SUP0053,Logistics Delay,Critical,2022-08-18,2022-08-28,10,2022,8,2055522.22,Y,Y
DIS00189,SUP0058,Pandemic,High,2021-05-14,2021-08-04,82,2021,5,576469.71,Y,N
DIS00190,SUP0039,Quality Recall,Medium,2022-03-18,2022-05-25,68,2022,3,2024944.76,Y,N
DIS00191,SUP0032,Geopolitical,Medium,2024-12-03,2024-12-07,4,2024,12,1128408.68,Y,Y
DIS00192,SUP0083,Port Strike,Medium,2024-01-15,2024-02-21,37,2024,1,312125.19,Y,N
DIS00193,SUP0104,Port Strike,Critical,2024-03-07,2024-04-16,40,2024,3,3741250.33,Y,N
DIS00194,SUP0042,Supplier Bankruptcy,Medium,2024-04-09,2024-05-29,50,2024,4,2351218.16,Y,N
DIS00195,SUP0107,Natural Disaster,Critical,2021-06-16,2021-07-12,26,2021,6,1685651.48,Y,Y
DIS00196,SUP0067,Port Strike,Medium,2021-05-05,2021-05-09,4,2021,5,2144170.24,Y,Y
DIS00197,SUP0063,Cyber Attack,Medium,2021-04-12,2021-04-29,17,2021,4,1306427.46,Y,N
DIS00198,SUP0081,Quality Recall,Critical,2023-06-03,2023-08-10,68,2023,6,180342.77,Y,Y
DIS00199,SUP0058,Pandemic,Medium,2022-12-14,2023-01-20,37,2022,12,131752.44,N,N
DIS00200,SUP0053,Logistics Delay,Medium,2024-08-14,2024-08-31,17,2024,8,2267297.62,Y,Y
